"";"Freq";"Percent"
"Not affiliated, public servant/5-Not affiliated, private employee/5";25;21,3675213675214
"Not affiliated, public servant/10";24;20,5128205128205
"Politically affiliated, public servant/10";14;11,965811965812
"Not affiliated, private employee/10";12;10,2564102564103
"Politically affiliated, public servant/5-Politically affiliated, private employee/5";10;8,54700854700855
"Politically affiliated, private employee/10";4;3,41880341880342
"Not affiliated, private employee/5-Not affiliated, public servant/5";3;2,56410256410256
"Not affiliated, public servant/6-NA/4";3;2,56410256410256
"Not affiliated, public servant/7-NA/3";2;1,70940170940171
"Politically affiliated, public servant/5-Politically affiliated, private employee/1-NA/4";2;1,70940170940171
